# Logfile created on 2026-09-09 20:59:07 +0200 by logger.rb/v1.5.3
2026-09-09 20:59:07 +0200: Memory Usage (455792K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/AION_a21oi_nor2_1.gds
2026-09-09 20:59:07 +0200: Memory Usage (455792K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:59:07 +0200: Memory Usage (456944K) : Loading database to memory is complete.
2026-09-09 20:59:07 +0200: Memory Usage (456944K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/drc/AION_a21oi_nor2_1.klayout.drc/AION_a21oi_nor2_1_AION_a21oi_nor2_1_thickgateox.lyrdb
2026-09-09 20:59:07 +0200: Memory Usage (457136K) : Evaluate switches.
2026-09-09 20:59:07 +0200: Memory Usage (457136K) : tables selected: thickgateox
2026-09-09 20:59:07 +0200: Memory Usage (457136K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:59:07 +0200: Memory Usage (457136K) : deep mode is enabled.
2026-09-09 20:59:07 +0200: Memory Usage (457136K) : FEOL enabled: false
2026-09-09 20:59:07 +0200: Memory Usage (457136K) : BEOL enabled: false
2026-09-09 20:59:07 +0200: Memory Usage (457136K) : OFFGRID enabled: true
2026-09-09 20:59:07 +0200: Memory Usage (457136K) : ANGLE enabled: true
2026-09-09 20:59:07 +0200: Memory Usage (457136K) : PIN enabled: false
2026-09-09 20:59:07 +0200: Memory Usage (457136K) : FORBIDDEN enabled: false
2026-09-09 20:59:07 +0200: Memory Usage (457136K) : RECOMMENDED enabled: true
2026-09-09 20:59:07 +0200: Memory Usage (457136K) : PreCheck DRC enabled: false
2026-09-09 20:59:07 +0200: Memory Usage (457136K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:59:07 +0200: Memory Usage (457136K) : Read in polygons from layers.
2026-09-09 20:59:07 +0200: Memory Usage (457904K) : activ_drw has 5 polygons
2026-09-09 20:59:07 +0200: Memory Usage (457904K) : activ_pin has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (457904K) : activ_mask has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (457904K) : activ_filler has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (457904K) : activ_nofill has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (457904K) : activ_opc has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (457904K) : activ_iopc has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (457904K) : activ_noqrc has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (457904K) : biwind_drw has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (457904K) : biwind_opc has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (457904K) : pemwind_drw has 0 polygons
