# Logfile created on 2026-09-09 20:57:39 +0200 by logger.rb/v1.5.3
2026-09-09 20:57:39 +0200: Memory Usage (457008K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/baseline/reference_AION_nand2_o21ai_0.gds
2026-09-09 20:57:39 +0200: Memory Usage (457008K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:57:39 +0200: Memory Usage (458128K) : Loading database to memory is complete.
2026-09-09 20:57:39 +0200: Memory Usage (458128K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/baseline/drc/reference_AION_nand2_o21ai_0.klayout.drc/reference_AION_nand2_o21ai_0_reference_AION_nand2_o21ai_0_metaln.lyrdb
2026-09-09 20:57:39 +0200: Memory Usage (458128K) : Evaluate switches.
2026-09-09 20:57:39 +0200: Memory Usage (458128K) : tables selected: metaln
2026-09-09 20:57:39 +0200: Memory Usage (458128K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:57:39 +0200: Memory Usage (458128K) : deep mode is enabled.
2026-09-09 20:57:39 +0200: Memory Usage (458128K) : FEOL enabled: false
2026-09-09 20:57:39 +0200: Memory Usage (458128K) : BEOL enabled: false
2026-09-09 20:57:39 +0200: Memory Usage (458128K) : OFFGRID enabled: true
2026-09-09 20:57:39 +0200: Memory Usage (458128K) : ANGLE enabled: true
2026-09-09 20:57:39 +0200: Memory Usage (458128K) : PIN enabled: false
2026-09-09 20:57:39 +0200: Memory Usage (458128K) : FORBIDDEN enabled: false
2026-09-09 20:57:39 +0200: Memory Usage (458128K) : RECOMMENDED enabled: true
2026-09-09 20:57:39 +0200: Memory Usage (458128K) : PreCheck DRC enabled: false
2026-09-09 20:57:39 +0200: Memory Usage (458128K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:57:39 +0200: Memory Usage (458128K) : Read in polygons from layers.
2026-09-09 20:57:39 +0200: Memory Usage (459088K) : activ_drw has 6 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459088K) : activ_pin has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459088K) : activ_mask has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459088K) : activ_filler has 0 polygons
2026-09-09 20:57:39 +0200: Memory Usage (459088K) : activ_nofill has 0 polygons
