# Logfile created on 2026-09-09 20:57:36 +0200 by logger.rb/v1.5.3
2026-09-09 20:57:36 +0200: Memory Usage (454836K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/baseline/reference_AION_nand2_o21ai_0.gds
2026-09-09 20:57:36 +0200: Memory Usage (454836K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:57:36 +0200: Memory Usage (456372K) : Loading database to memory is complete.
2026-09-09 20:57:36 +0200: Memory Usage (456372K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/baseline/drc/reference_AION_nand2_o21ai_0.klayout.drc/reference_AION_nand2_o21ai_0_reference_AION_nand2_o21ai_0_gatpoly.lyrdb
2026-09-09 20:57:36 +0200: Memory Usage (456372K) : Evaluate switches.
2026-09-09 20:57:36 +0200: Memory Usage (456372K) : tables selected: gatpoly
2026-09-09 20:57:36 +0200: Memory Usage (456372K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:57:36 +0200: Memory Usage (456372K) : deep mode is enabled.
2026-09-09 20:57:36 +0200: Memory Usage (456372K) : FEOL enabled: false
2026-09-09 20:57:36 +0200: Memory Usage (456372K) : BEOL enabled: false
2026-09-09 20:57:36 +0200: Memory Usage (456372K) : OFFGRID enabled: true
2026-09-09 20:57:36 +0200: Memory Usage (456372K) : ANGLE enabled: true
2026-09-09 20:57:36 +0200: Memory Usage (456372K) : PIN enabled: false
2026-09-09 20:57:36 +0200: Memory Usage (456372K) : FORBIDDEN enabled: false
2026-09-09 20:57:36 +0200: Memory Usage (456372K) : RECOMMENDED enabled: true
2026-09-09 20:57:36 +0200: Memory Usage (456372K) : PreCheck DRC enabled: false
2026-09-09 20:57:36 +0200: Memory Usage (456372K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:57:36 +0200: Memory Usage (456372K) : Read in polygons from layers.
2026-09-09 20:57:36 +0200: Memory Usage (457344K) : activ_drw has 6 polygons
2026-09-09 20:57:36 +0200: Memory Usage (457344K) : activ_pin has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (457344K) : activ_mask has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (457344K) : activ_filler has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (457344K) : activ_nofill has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (457344K) : activ_opc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (457344K) : activ_iopc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (457344K) : activ_noqrc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (457344K) : biwind_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (457344K) : biwind_opc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (457344K) : pemwind_drw has 0 polygons
